"Geneid","SRR3191542","SRR3191543","SRR3191544","SRR3191545","SRR3194428","SRR3194429","SRR3194430","SRR3194431"
"DDX11L1",0,0,2,0,0,0,1,0
"WASH7P",182,184,171,240,120,184,109,104
"MIR6859-3",0,0,0,0,0,0,0,0
"MIR6859-2",0,0,0,0,0,0,0,0
"MIR6859-4",0,0,0,0,0,0,0,0
"MIR6859-1",0,0,0,0,0,0,0,0
"MIR1302-11",0,0,0,0,0,0,0,0
"MIR1302-9",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"MIR1302-10",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"FAM138F",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"LOC729737",108,114,139,160,184,307,328,271
"LOC100133331",109,138,98,148,272,368,297,242
"LOC100132287",0,0,0,0,0,0,0,0
"LOC100132062",0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0
"MIR6723",227,229,152,185,21,18,19,8
"LOC100288069",75,52,105,86,179,207,249,178
"FAM87B",6,6,6,4,15,28,18,15
"LINC00115",9,2,4,6,36,44,25,27
"LINC01128",265,238,237,243,1037,1339,999,818
"FAM41C",0,0,1,1,1,2,0,1
"LOC100130417",46,61,24,40,199,275,93,89
"SAMD11",106,130,177,173,410,654,846,743
"NOC2L",881,750,843,818,3009,4223,3801,3097
"KLHL17",280,359,310,315,1300,2037,1576,1316
"PLEKHN1",0,0,2,1,3,5,14,7
"PERM1",0,2,2,0,3,6,9,7
"HES4",1406,1540,702,816,6420,10311,3583,3377
"ISG15",57,59,24,26,217,338,157,149
"AGRN",7473,8021,4165,4514,30774,45047,19226,17278
"RNF223",0,2,0,2,4,5,6,2
"C1orf159",247,293,133,150,1110,1748,764,624
"LINC01342",0,0,0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0
"MIR429",2,0,0,0,0,2,0,0
"TTLL10",3,0,0,4,11,12,2,1
"TNFRSF18",0,0,2,0,1,4,3,1
"TNFRSF4",0,0,0,0,2,5,9,0
"SDF4",913,1009,836,915,3673,5171,3912,3321
"B3GALT6",583,486,470,446,2407,3247,2321,1960
"FAM132A",14,21,38,31,103,136,158,127
"UBE2J2",530,448,707,656,2169,3059,2967,2621
"SCNN1D",140,186,98,110,651,943,481,416
"ACAP3",2353,2633,2612,2432,9961,15050,11843,9253
"MIR6726",0,1,0,0,0,1,0,0
"PUSL1",148,151,176,202,531,847,837,699
"CPSF3L",1064,1158,1333,1330,4220,6358,6046,4868
"MIR6727",1,1,1,0,2,2,2,2
"CPTP",123,176,174,157,620,953,754,645
"TAS1R3",26,20,27,20,88,125,100,93
"DVL1",691,794,783,792,2634,3975,3370,2872
"MIR6808",0,0,0,0,0,0,0,0
"MXRA8",543,634,272,315,2473,3619,1326,1149
"AURKAIP1",401,409,358,369,1601,2275,1734,1532
"CCNL2",3658,3830,3217,3301,15097,22366,15657,13369
"LOC148413",166,196,135,136,741,1024,510,510
"MRPL20",322,261,239,269,1508,2055,1272,1047
"ANKRD65",10,15,9,11,50,64,32,33
"TMEM88B",3,0,5,3,11,15,4,6
"LOC102724312",0,1,0,0,18,13,7,4
"VWA1",220,213,77,93,1013,1411,410,356
"ATAD3C",4,11,9,6,15,35,19,13
"ATAD3B",246,251,314,268,893,1428,1144,924
"ATAD3A",335,357,253,250,1190,1736,1167,1020
"TMEM240",61,80,54,72,297,479,305,277
"SSU72",840,717,697,717,3330,4615,3208,2843
"C1orf233",146,160,108,82,547,789,375,335
"MIB2",709,824,1002,1002,3029,4709,4906,4154
"MMP23B",17,22,10,9,52,71,27,17
"MMP23A",0,3,2,2,4,9,4,4
"CDK11B",280,265,411,442,852,1220,1429,1219
"SLC35E2B",2374,2316,1929,2153,8465,11488,7730,6693
"CDK11A",122,140,265,246,404,600,837,678
"SLC35E2",759,784,473,455,2837,3877,1731,1557
"NADK",465,518,595,547,1940,2868,2465,2142
"GNB1",7866,7252,7312,7501,33441,44903,34204,29187
"CALML6",1,2,0,0,8,7,5,5
"TMEM52",20,20,14,4,66,99,52,53
"CFAP74",20,20,12,2,89,156,28,21
"GABRD",4,8,8,2,31,63,12,9
"PRKCZ",229,203,259,261,825,1225,964,838
"FAAP20",364,376,343,325,1464,2115,1443,1349
"SKI",1454,1340,1467,1588,6276,8595,7499,6457
"MORN1",127,150,69,65,576,786,365,306
"LOC100129534",26,34,7,19,153,199,54,64
"RER1",670,621,586,573,3374,4664,2925,2597
"PEX10",165,138,114,120,800,996,556,448
"PLCH2",128,114,104,85,495,736,398,388
"PANK4",352,390,332,367,1528,2203,1597,1327
"HES5",272,341,160,250,1340,2176,963,986
"LOC115110",0,2,61,47,3,7,169,132
"TNFRSF14",4,0,23,41,8,23,160,149
"LOC100996583",0,0,2,4,5,6,17,9
"FAM213B",561,506,435,403,2029,2908,1763,1469
"MMEL1",10,2,4,4,11,25,26,15
"TTC34",2,0,3,0,4,11,2,2
"ACTRT2",0,1,0,0,2,2,1,1
"LINC00982",42,36,20,22,144,190,83,80
"PRDM16",284,279,490,487,1091,1547,2093,1917
"MIR4251",0,0,0,0,0,0,0,0
"ARHGEF16",191,166,113,96,764,1080,446,368
"MEGF6",1077,1188,488,462,4679,7134,2496,2187
"MIR551A",0,0,0,0,0,0,0,0
"TPRG1L",324,327,367,409,1519,2152,1996,1681
"WRAP73",253,310,234,195,1194,1708,1025,853
"TP73",81,66,35,48,253,348,168,148
"TP73-AS1",1020,945,865,837,4031,5421,3625,3233
"CCDC27",5,2,0,0,21,26,10,7
"SMIM1",13,9,2,0,51,59,37,35
"LRRC47",733,675,812,822,3145,4241,3964,3432
"CEP104",547,528,763,802,2445,3330,3814,3213
"DFFB",132,107,105,96,561,799,541,498
"C1orf174",246,263,216,249,1085,1439,1215,1006
"LINC01134",0,0,0,0,4,4,2,1
"LINC01346",0,0,0,0,0,0,0,0
"LOC284661",0,0,0,0,0,0,0,0
"AJAP1",2,2,0,6,12,17,14,9
"MIR4417",0,0,0,0,0,1,1,0
"MIR4689",2,3,0,0,2,3,1,2
"NPHP4",642,653,559,602,2471,3612,2730,2170
"KCNAB2",272,309,304,318,1092,1588,1261,1097
"CHD5",63,50,72,46,202,256,230,194
"RPL22",3407,2924,2697,2742,10224,12764,8712,7586
"LOC102724450",0,0,0,2,0,3,0,0
"RNF207",35,29,3,16,122,179,53,43
"ICMT",933,842,616,687,4195,5667,3334,2920
"LINC00337",3,4,1,0,16,25,6,6
"HES3",4,6,2,4,17,39,16,15
"GPR153",1842,1961,1545,1618,7666,11319,7061,6256
"ACOT7",747,760,729,702,3229,4323,3151,2680
"HES2",6,2,2,0,9,8,5,4
"ESPN",2,4,2,2,6,14,1,4
"MIR4252",0,0,0,0,0,0,0,0
"TNFRSF25",201,199,201,191,721,1209,862,693
"PLEKHG5",455,567,621,569,2203,3127,2636,2127
"NOL9",349,342,325,411,1475,1957,2000,1819
"TAS1R1",0,2,2,0,2,4,3,6
"ZBTB48",252,238,377,358,929,1387,1588,1393
"KLHL21",270,285,337,347,1093,1474,1594,1398
"PHF13",441,364,407,415,1666,2370,1742,1529
"THAP3",108,112,215,183,560,814,964,848
"DNAJC11",435,462,464,518,1862,2422,2055,1755
"LOC100505887",0,0,0,0,0,0,0,0
"CAMTA1",1152,1117,1201,1153,5675,7264,6258,5317
"VAMP3",400,374,372,347,2038,2543,2341,1889
"PER3",230,212,243,214,995,1345,1154,1064
"UTS2",0,0,0,0,0,0,0,5
"TNFRSF9",14,9,8,7,35,44,22,26
"PARK7",1075,932,864,850,4214,5716,3706,3334
"ERRFI1",681,611,1016,936,3401,4248,4950,4188
"LOC102724539",0,0,0,0,0,0,1,0
"SLC45A1",90,83,117,99,324,516,415,376
"RERE",5099,5096,5367,5453,18507,24886,21896,18249
"LOC102724552",0,1,0,2,4,11,13,10
"ENO1",4606,4223,3118,3124,16547,21838,13084,10823
"MIR6728",0,0,0,0,0,0,0,1
"ENO1-AS1",4,2,0,0,4,12,1,3
"CA6",0,0,0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0,0,0
"SLC2A5",2,2,0,0,17,13,4,2
"GPR157",6,1,6,15,18,29,40,26
"MIR34A",3,0,2,1,2,3,4,3
"H6PD",861,709,532,597,3485,4639,2424,2261
"SPSB1",34,50,66,60,157,227,258,232
"LOC100506022",28,12,8,14,81,86,31,28
"SLC25A33",139,156,268,269,391,522,934,810
"TMEM201",477,543,451,464,2001,2723,1949,1752
"PIK3CD",143,186,151,122,609,814,661,552
"PIK3CD-AS1",0,0,0,0,1,0,0,0
"PIK3CD-AS2",5,8,10,4,40,59,27,25
"CLSTN1",4485,4306,3696,3540,16934,23974,15127,13485
"CTNNBIP1",789,765,438,428,3360,4424,2193,1882
"LZIC",351,224,297,297,1754,2078,1660,1529
"NMNAT1",131,112,125,106,641,875,682,585
"MIR5697",0,0,0,0,0,0,1,2
"RBP7",17,22,8,26,116,151,73,76
"UBE4B",1424,1200,1242,1281,5563,7441,5726,4955
"KIF1B",8863,7744,8182,8317,39854,50449,41094,36190
"RNU6-2",10,8,4,11,26,38,18,16
"PGD",3283,3032,2462,2381,13412,17806,11607,9661
"APITD1-CORT",0,0,0,0,0,0,0,0
"APITD1",13,13,4,2,81,97,31,34
"CORT",11,9,7,8,36,58,28,35
"DFFA",369,320,319,285,1515,1837,1305,1138
"PEX14",287,275,227,271,916,1172,1049,961
"CASZ1",401,432,447,592,1839,2515,2160,1923
"C1orf127",0,0,0,0,3,13,1,0
"TARDBP",2763,2414,1388,1515,12200,15280,6688,6040
"MASP2",138,122,81,88,656,957,524,479
"SRM",405,425,365,377,1840,2551,1698,1338
"EXOSC10",1075,1046,1251,1234,4784,6721,6119,5253
"MTOR",1788,1697,1625,1818,7235,9839,7823,6758
"MTOR-AS1",5,1,3,2,3,11,10,5
"ANGPTL7",2,2,0,0,13,15,7,3
"UBIAD1",336,292,287,292,1143,1467,1296,1114
"PTCHD2",630,629,543,600,2498,3767,2448,2175
"LOC101929181",0,0,0,0,0,2,3,1
"FBXO2",14,13,24,13,75,106,81,80
