"","SRR3191542","SRR3191543","SRR3191544","SRR3191545","SRR3194428","SRR3194429","SRR3194430","SRR3194431"
"DDX11L1",0,0,0.19892241737285,0,0,0,0.0200251792598978,0
"WASH7P",16.7072858729525,18.0426331732638,17.0078666853786,23.1392856767532,2.48273798828086,2.89706586428859,2.18274453932886,2.38821714285688
"MIR6859-3",0,0,0,0,0,0,0,0
"MIR6859-2",0,0,0,0,0,0,0,0
"MIR6859-4",0,0,0,0,0,0,0,0
"MIR6859-1",0,0,0,0,0,0,0,0
"MIR1302-11",0,0,0,0,0,0,0,0
"MIR1302-9",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"MIR1302-10",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"FAM138F",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"LOC729737",9.91421359493883,11.1785879443047,13.825108007413,15.4261904511688,3.80686491536398,4.83369141487281,6.56825879724648,6.22314274725206
"LOC100133331",10.006011868966,13.5319748799478,9.74719845126963,14.2692261673312,5.62753944010327,5.79413172857717,5.94747824018965,5.55719758241697
"LOC100132287",0,0,0,0,0,0,0,0
"LOC100132062",0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0
"MIR6723",20.838208204177,22.4552336775946,15.1181037203366,17.836532709164,0.43447914794915,0.283408617158666,0.380478405938058,0.183709010988991
"LOC100288069",6.88487055204086,5.09900502722673,10.4434269120746,8.29157736750325,3.70341749918561,3.25919909732466,4.98626963571455,4.08752549450505
"FAM87B",0.550789644163268,0.588346733910776,0.596767252118549,0.385654761279221,0.310342248535107,0.440857848913481,0.360453226678161,0.344454395604358
"LINC00115",0.826184466244903,0.196115577970259,0.397844834745699,0.578482141918831,0.744821396484257,0.692776619721184,0.500629481497445,0.620017912087844
"LINC01128",24.326542617211,23.3377537784608,23.5723064586827,23.4285267477127,21.4549941153937,21.0824521319697,20.0051540806379,18.7842463736243
"FAM41C",0,0,0.0994612086864248,0.0964136903198052,0.0206894832356738,0.0314898463509629,0,0.0229636263736239
"LOC100130417",4.22272060525172,5.98152512809289,2.38706900847419,3.85654761279221,4.11720716389909,4.3298538732574,1.8623416711705,2.04376274725252
"SAMD11",9.73061704688441,12.7475125680668,17.6046339374972,16.6795684253263,8.48268812662626,10.2971797567649,16.9413016538735,17.0619743956025
"NOC2L",80.8742794179732,73.543341738847,83.8457989226561,78.8663986816006,62.2546550561425,66.4908105700582,76.1157063668716,71.1183508791131
"KLHL17",25.7035167276192,35.2027462456614,30.8329746927917,30.3703124507386,26.8963282063759,32.0724085084557,31.5596825135989,30.220132307689
"PLEKHN1",0,0,0.19892241737285,0.0964136903198052,0.0620684497070214,0.0787246158774073,0.280352509638569,0.160745384615367
"PERM1",0,0.196115577970259,0.19892241737285,0,0.0620684497070214,0.0944695390528887,0.18022661333908,0.160745384615367
"HES4",129.068373282259,151.008995037099,69.8217684978702,78.673571300961,132.826482373026,162.345902862389,71.7502172882138,77.5481662637278
"ISG15",5.23250161955105,5.78540955012263,2.38706900847419,2.50675594831493,4.48961786214122,5.32178403331273,3.14395314380396,3.42158032966995
"AGRN",686.008501805351,786.521525449723,414.255934178959,435.211398103601,636.698157094626,709.261554285913,385.004096450795,396.765536483473
"RNF223",0,0.196115577970259,0,0.19282738063961,0.0827579329426952,0.0787246158774073,0.120151075559387,0.0459272527472477
"C1orf159",22.6741736847212,28.7309321726429,13.2283407552945,14.4620535479708,22.9653263915979,27.5221257107416,15.2992369545619,14.3293028571413
"LINC01342",0,0,0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0
"MIR429",0.183596548054423,0,0,0,0,0.0314898463509629,0,0
"TTLL10",0.275394822081634,0,0,0.385654761279221,0.227584315592412,0.188939078105777,0.0400503585197956,0.0229636263736239
"TNFRSF18",0,0,0.19892241737285,0,0.0206894832356738,0.0629796927019258,0.0600755377796934,0.0229636263736239
"TNFRSF4",0,0,0,0,0.0413789664713476,0.0787246158774073,0.18022661333908,0
"SDF4",83.811824186844,98.9403090859955,83.1495704618511,88.2185266426217,75.9924719246299,81.4169977404146,78.3385012647202,76.2622031868048
"B3GALT6",53.5183937578642,47.6560854467729,46.7467680826196,43.0005058826331,49.7995861482668,51.1237655507883,46.4784410622228,45.0087076923027
"FAM132A",1.28517583638096,2.05921356868772,3.77952593008414,2.98882439991396,2.1310167732744,2.14130955186548,3.16397832306385,2.91638054945023
"UBE2J2",48.653085234422,43.929889465338,70.3190745413023,63.2473808497922,44.8754891381765,48.1637199937978,59.4147068641168,60.1876647252681
"SCNN1D",12.8517583638096,18.2387487512341,9.74719845126963,10.6055059351786,13.4688535864236,14.847462554479,9.63211122401085,9.55286857142752
"ACAP3",216.001338786028,258.186158397846,259.792677088942,234.478094857766,206.087942510547,236.961093790996,237.15819797497,212.482434835142
"MIR6726",0,0.0980577889851293,0,0,0,0.0157449231754814,0,0
"PUSL1",13.5861445560273,14.8067261367545,17.5051727288108,19.4755654446006,10.9861155981428,13.3359499296328,16.7610750405345,16.0515748351631
