"","SRR3191542","SRR3191543","SRR3191544","SRR3191545","SRR3194428","SRR3194429","SRR3194430","SRR3194431"
"DDX11L1",0,0,0.120413085576785,0,0,0,0.0121217792130132,0
"WASH7P",9.44448042563735,10.1993404032017,9.61439609122591,13.0804328302732,1.40346975030009,1.63768562141808,1.23388611607058,1.3500379552611
"MIR6859-3",0,0,0,0,0,0,0,0
"MIR6859-2",0,0,0,0,0,0,0,0
"MIR6859-4",0,0,0,0,0,0,0,0
"MIR6859-1",0,0,0,0,0,0,0,0
"MIR1302-11",0,0,0,0,0,0,0,0
"MIR1302-9",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"MIR1302-10",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"FAM138F",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"LOC729737",1.8111460714174,2.04212421342798,2.52559517855554,2.81808375067023,0.695444814644497,0.883027295373183,1.19990113212395,1.13685472182171
"LOC100133331",0.780561031981125,1.05561860363116,0.760371203000985,1.11313099050871,0.438999878313696,0.451995610311036,0.463958049784667,0.433512565911301
"LOC100132287",0,0,0,0,0,0,0,0
"LOC100132062",0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0
"MIR6723",234.137170833449,252.305996377468,169.866333936366,200.410479878247,4.88178817920393,3.18436648492883,4.27503826896695,2.06414619088754
"LOC100288069",5.0217874194317,3.71918674487726,7.61737922106098,6.04783177790171,2.70125273463575,2.37724222999611,3.63695815879982,2.98141903319113
"FAM87B",0.283328006256825,0.302647496867683,0.306979039155632,0.198382078847336,0.159641074349335,0.226778728864959,0.185418326480535,0.177188475105122
"LINC00115",0.627323057133563,0.148910841283416,0.302084156982308,0.439242324919386,0.565543960884022,0.52602628680424,0.380128687545517,0.470780495131241
"LINC01128",2.63473872167346,2.52764581159545,2.55304954605033,2.53747717401848,2.32372946121453,2.28338049734319,2.16670140589602,2.03446836062215
"FAM41C",0,0,0.0583008257247507,0.0565144726376349,0.012127481380817,0.0184582921166254,0,0.0134605078391699
"LOC100130417",2.80393134478866,3.97179623379342,1.58503918225378,2.56078858751143,2.73386929873777,2.87506897294648,1.2366146554917,1.35708017745851
"SAMD11",3.80995185860783,4.99119521067612,6.8929655197718,6.53076289167044,3.32133442702673,4.03178533937544,6.63324262093718,6.68049114941367
"NOC2L",28.8836712207047,26.2654791924454,29.9449281866629,28.1665709577145,22.2338053771937,23.7467180607351,27.1841808453113,25.3994110282547
"KLHL17",10.0247725146721,13.7296202206168,12.0253411438345,11.8448956516141,10.4899875999906,12.5087396678844,12.3087685310448,11.7863230529208
"PLEKHN1",0,0,0.0816594488394292,0.0395786906074734,0.0254796591572337,0.0323171657953232,0.115087237125849,0.0659874321081145
"PERM1",0,0.0567792640330801,0.0575918984866385,0,0.0179700201815349,0.0273507640570031,0.0521791005614013,0.0465389069529146
"HES4",124.104205079095,145.200956766442,67.1363158633367,75.6476647124625,127.717771512525,156.101829675374,68.9905935463595,74.5655444843536
"ISG15",7.85660903836494,8.68680112631026,3.5841877004117,3.76389782029269,6.741167961173,7.99066671668578,4.72065036607201,5.13750800250744
"AGRN",92.7790778746755,106.372940958848,56.0259580983174,58.860075480606,86.1101105077936,95.9239321457821,52.0697993576948,53.6604728811838
"RNF223",0,0.174791067709678,0,0.171860410552237,0.0737592985229013,0.0701645417802204,0.107086520106405,0.0409333803451406
"C1orf159",10.7766985193542,13.6553860136135,6.28723419928446,6.87359959504314,10.9150790834591,13.0808582275388,7.27150045368913,6.81050516023825
"LINC01342",0,0,0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0
"MIR429",2.21200660306533,0,0,0,0,0.379395739168228,0,0
"TTLL10",0.0880136855486207,0,0,0.123251761354816,0.0727338816210968,0.0603832144793152,0.0127997310705643,0.00733896656235981
"TNFRSF18",0,0,0.165768681144041,0,0.0172412360297282,0.0524830772516048,0.0500629481497445,0.0191363553113532
"TNFRSF4",0,0,0,0,0.0374809478907134,0.0713085288744631,0.163248743966558,0
"SDF4",39.2010403119008,46.2770388615508,38.8912864648509,41.262173359505,35.5437193286389,38.0809156877524,36.6410202360712,35.6698798815738
"B3GALT6",19.1684791396362,17.0687985124545,16.7431117774426,15.40132732186,17.8365279900669,18.3108042803683,16.6470061111113,16.1205973109967
"FAM132A",1.23219159768069,1.97431789902945,3.6237065484987,2.86560345149948,2.04316085644717,2.05302929229672,3.03353626372373,2.79614626025909
"UBE2J2",19.9643353444489,18.0262164404341,28.8547700210514,25.952967111117,18.4142343611721,19.763528926466,24.3802654345986,24.6974414137333
"SCNN1D",4.20817235226247,5.97208538023381,3.19161704363773,3.47266075153195,4.41023365632732,4.86164458234414,3.15393294826812,3.12798577977326
"ACAP3",57.46244713648,68.6847987224915,69.1121779965261,62.3777852774052,54.8252041794484,63.0383330117041,63.0907682827799,56.52631945601
"MIR6726",0,1.60750473746114,0,0,0,0.258113494680024,0,0
"PUSL1",10.9565681903446,11.940908174802,14.117074781299,15.7061011650005,8.85977064366354,10.754798330349,13.516996000431,12.9448184154541
"CPSF3L",37.1522873963305,43.1916773087789,50.4305025405113,48.7752788609132,33.2102013140142,38.0776803155995,46.0525803747973,42.5207049017881
"MIR6727",1.41228113888018,1.50858136900199,1.53017244132961,0,0.636599484174578,0.484459174630198,0.616159361843009,0.706573119188426
"CPTP",5.148740403715,7.8696629554869,7.89158700931961,6.90239369822591,5.84928390611845,6.84218503704233,6.88508215319788,6.75400775694819
"TAS1R3",0.932690552836067,0.766375842009608,1.04941486304551,0.753526301835132,0.711478907674597,0.769095504859391,0.782539244232036,0.834551486028534
"DVL1",21.6937781644333,26.6271834658662,26.6341061564537,26.1147888964725,18.6375167040919,21.4042645767916,23.0796354671189,22.5552445092502
"MIR6808",0,0,0,0,0,0,0,0
"MXRA8",16.0123555402428,19.9706515311828,8.6904750281746,9.7559628817021,16.4359434763319,18.3041686386339,8.52983864395262,8.47581326800315
"AURKAIP1",32.0933808935586,34.9656806407305,31.0436902438885,31.0171331543227,28.8786945599946,31.2290324535486,30.2734619325744,30.6715567605856
"CCNL2",92.4808830601871,103.431928342893,88.1208230086005,87.6512232844056,86.0228940812359,96.9845639611176,86.3492788962324,84.5499093883165
"LOC148413",8.71768506208072,10.9950381241907,7.68150067086233,7.50129398369194,8.77054180642694,9.22357055588845,5.84258662617156,6.69991387331131
"MRPL20",40.3261176490615,34.9155292293571,32.4300530369107,35.3823774843487,42.5644484575663,44.1416331863771,34.750379288663,32.8007050657356
"ANKRD65",0.418787746474505,0.671015891777801,0.408371750993532,0.483827825509971,0.471931643149494,0.459705786145444,0.292338383356172,0.345711528435031
"TMEM88B",0.559745573336655,0,1.0107846411222,0.587888355608568,0.462569747139048,0.480028145593947,0.162806335446324,0.280044224068584
"LOC102724312",0,0.0821254514113311,0,0,0.311901757321716,0.171427136751473,0.117400548424862,0.07693007160343
"VWA1",4.33475430049077,4.48300258721454,1.64381048912958,1.92454887309334,4.49848605231542,4.76842382498483,1.76225016023999,1.75467932796954
"ATAD3C",0.0951523959857076,0.279511707394771,0.231964467006433,0.149904675283449,0.0804203805480972,0.142801842742123,0.0985950779834305,0.0773586791544727
"ATAD3B",9.28169971668475,10.116113865708,12.8363417704634,10.6201681075659,7.59379717610222,9.24116329411735,9.41586727222487,8.72108128616048
"ATAD3A",10.9556187385521,12.4711901203032,8.96461909428766,8.58689796221991,8.77110261861483,9.73750859730524,8.32539515365185,8.34445988638986
"TMEM240",5.01315551983876,7.02293922901553,4.80833059003307,6.21466938498297,5.50114281199205,6.75185156764155,5.46793166899627,5.69465040778318
"SSU72",59.1792403552245,53.9581233325693,53.203731737865,53.0534274438222,52.8748880850298,55.7657869952777,49.3022064971237,50.1040596931793
"C1orf233",6.41577214359639,7.51040987918655,5.14208259364953,3.78454887803926,5.41749513160056,5.94674216632593,3.59475453444791,3.68253462669411
"MIB2",18.2106816690803,22.6076155914232,27.8847596820922,27.0303630946964,17.5345396532893,20.7450596623789,27.4883966001843,26.6902361376703
"MMP23B",1.25852472456661,1.7397349658652,0.802106521664716,0.699776784579231,0.867623490528256,0.901523826983212,0.436032129046162,0.314823909960972
"MMP23A",0,0.162347332756837,0.1097805835391,0.106416876732677,0.045672148423121,0.0782032608053714,0.0442056937304587,0.0506923319506045
"CDK11B",8.23830664346769,8.32862630803182,13.1021015288848,13.6586061286391,5.64982042204938,6.1566686775921,9.17178883410063,8.97200658636137
"SLC35E2B",33.9400564617038,35.3686091402522,29.8801855717355,32.328091459047,27.2755763261141,28.1697052546225,24.1075588972138,23.9363886183872
"CDK11A",4.26318592741522,5.22576720895246,10.0332014853074,9.02846129374651,3.18178577358668,3.59609969748339,6.38031025524723,5.92666108919565
"SLC35E2",9.54842948974283,10.5354675297165,6.44719086044661,6.01181706119109,8.04386240093279,8.36550187081562,4.75038855678815,4.89987203833525
"NADK",10.1008512595015,12.0193882381204,14.0036486437347,12.4794814493453,9.49777507742716,10.6853856287934,11.6805648072996,11.6393960464511
"GNB1",226.075523950546,222.640916005059,227.695791457463,226.424261455497,216.61772350788,221.350746821742,214.446221479507,209.843257034114
"CALML6",0.0833771789529622,0.178124957284522,0,0,0.150332303256485,0.100103962060282,0.0909408685735595,0.104285315048246
"TMEM52",1.91645666027581,2.04713546941815,1.45350409353857,0.40256238129355,1.42537149640341,1.62708496281071,1.08696171348088,1.27043026910445
"CFAP74",0.339239741416154,0.362371725739576,0.220534830790299,0.0356295973096102,0.340237252027895,0.453844792197913,0.103604031647661,0.0891049803854584
"GABRD",0.190749660316283,0.407512889288849,0.413345282852674,0.100170067864733,0.333181288470591,0.515288394833938,0.124832286295467,0.10736240901954
"PRKCZ",6.82747799682735,6.46499875413487,8.3664998537785,8.172774658483,5.54362574518704,6.26421919128444,6.26965664389136,6.24992494351958
"FAAP20",4.77897193162256,5.2731305289486,4.87917542612181,4.48147158952184,4.3320085035793,4.76265911272072,4.13277083410076,4.43048226230243
"SKI",23.3878903864667,23.0239069984358,25.5667764399834,26.8275696912302,22.7522685801803,23.7125660930897,26.3130925652661,25.9814500603626
"MORN1",1.82790542512635,2.30615684348846,1.07601495756715,0.982579158166719,1.86847637876264,1.94034330760872,1.14600038097565,1.10173560212118
"LOC100129534",1.06172380992326,1.48308043838719,0.30971016939723,0.814884393272375,1.40813653694755,1.39378990743808,0.481031886136335,0.65376872238075
"RER1",19.8147047674715,19.6178759535326,18.777148289383,17.7980169308146,22.489148336715,23.6579644621281,18.8703767188148,19.2128020915919
"PEX10",7.30314137632106,6.52457805204814,5.46700954206964,5.57841988349885,7.98051426641227,7.56120707945011,5.36837013910472,4.96032045100457
"PLCH2",1.71685842716,1.63334131272717,1.51139183275689,1.1974230971922,1.49639015220025,1.69320038824581,1.16452678922258,1.30185374531941
"PANK4",12.0615873301898,14.2749300874208,12.3259131332187,13.2078478340308,11.8004965972787,12.9473929658774,11.9373688981175,11.3746667404998
"HES5",19.1187829520685,25.6031439846318,12.1851404210015,18.4559131546335,21.2281068421155,26.2335014011084,14.7658863914867,17.3370104168401
"LOC115110",0,0.0424584494414935,1.31351672004155,0.981044261751644,0.0134376379534578,0.0238611089474713,0.732681380152139,0.656245655189077
"TNFRSF14",0.104882346789159,0,0.653415538356975,1.12909491662725,0.0472767397558956,0.103437084557576,0.915175287513182,0.977315147006556
"LOC100996583",0,0,0.28498913663732,0.552513984640717,0.148205467304254,0.135343179158866,0.48771926564221,0.296092603671368
"FAM213B",17.2756899460804,16.6444955472913,14.5137959673246,13.0341218379341,14.0821742654083,15.359354778363,11.8431368786313,11.3161915943822
"MMEL1",0.316327615531397,0.0675794548484696,0.137093326928222,0.132892750268512,0.0784232651938015,0.135638552511039,0.179412357256149,0.118695518816112
"TTC34",0.103434674960238,0,0.168103451301,0,0.0466241875733494,0.097574171791716,0.0225635822646736,0.0258745085899987
"ACTRT2",0,0.0689576575141557,0,0,0.0290991325396256,0.0221447583340105,0.0140824045428255,0.0161488230475555
"LINC00982",1.00195621339472,0.91738056223094,0.516950149097842,0.551221722202628,0.774242615888001,0.777426040369406,0.431936039129812,0.47741426972191
"PRDM16",2.98873206737682,3.13632043182977,5.58706778130782,5.38272007173508,2.58766779893616,2.7923187151748,4.8048492710038,5.04657477453134
"MIR4251",0,0,0,0,0,0,0,0
"ARHGEF16",6.03769639779524,5.60523173950808,3.87021920852824,3.18722943205968,5.44310096145137,5.85554994129475,3.07549240699532,2.90999122089999
"MEGF6",13.2903268083488,15.659719493794,6.52467668221203,5.98778396662858,13.0133206156362,15.0993792087491,6.71902775006115,6.75110241687261
"MIR551A",0,0,0,0,0,0,0,0
"TPRG1L",12.2548993756969,13.2117416555984,15.0400756439711,16.2477129545943,12.9490420416104,13.9608877930103,16.4689978585727,15.9051734380147
"WRAP73",13.669784184158,17.8916507271278,13.6986008432157,11.0657266700188,14.5398722680368,15.8283277126088,12.0811116782785,11.5291190680996
"TP73",1.34655200945384,1.1720054460374,0.630413311123663,0.838076265003739,0.947924530718122,0.992255209175579,0.609241237896203,0.615468435946456
"TP73-AS1",14.5056916355934,14.3554780156386,13.328264215919,12.5016667386022,12.9201095155695,13.2228084483788,11.2457435812749,11.5013794060303
"CCDC27",0.21112758515918,0.0902095574840196,0,0,0.199852413960051,0.188301749108794,0.0921121401099255,0.0739399193262958
"SMIM1",2.0826833548931,1.54017469610151,0.347159541662914,0,1.84147232987673,1.62120500410717,1.29307440247159,1.40266478721961
"LRRC47",25.4109270626684,24.995848778309,30.4994340836016,29.9290232035045,24.5726679668407,25.2168501462299,29.97726985885,29.7625248165699
"CEP104",7.77541899858852,8.01711250915892,11.7511462105516,11.9733322447327,7.83304219746399,8.11870457949105,11.826576911931,11.4249197179395
"DFFB",3.75267022966612,3.24935999424244,3.23426042492245,2.86643365459935,3.5945494255847,3.8960029783864,3.35510126342667,3.54161843730712
"C1orf174",13.5548471852905,15.4797109862479,12.8953307780719,14.4099693215075,13.4742432837371,13.5996065123156,14.6041973594093,13.8663914356936
"LINC01134",0,0,0,0,0.0423964820403152,0.032264186835003,0.020517601700715,0.0117641528553401
"LINC01346",0,0,0,0,0,0,0,0
"LOC284661",0,0,0,0,0,0,0,0
"AJAP1",0.0553501802997958,0.0591243828671265,0,0.17439919864903,0.0748488992547741,0.080694511300327,0.0845199004035482,0.0623070959790819
"MIR4417",0,0,0,0,0,0.215683879116184,0.274317524108189,0
"MIR4689",2.6228078293489,4.20247667079126,0,0,0.591128092447823,0.674782421806348,0.286073989427112,0.656103610674967
"NPHP4",10.6073599577879,11.5247905340694,10.0069862591273,10.4465517589134,9.20153223098451,10.2359003797406,9.83958592144007,8.96887495154135
"KCNAB2",4.33642419857615,5.26221896429402,5.25116489070391,5.32468800307364,3.92374360773807,4.34229558920885,4.38550730231524,4.37497362484636
"CHD5",0.598498526721962,0.507387917753955,0.741095625108412,0.458970273694612,0.432502909407649,0.417127220627471,0.476641956926058,0.461031099708478
"RPL22",150.003222834873,137.516055152287,128.655577854814,126.794407125614,101.452890456369,96.387625617192,83.6735547780478,83.5501533190938
"LOC102724450",0,0,0,0.510125345607435,0,0.124959707741916,0,0
"RNF207",0.809100879111659,0.716110773248237,0.0751406764188553,0.388471177314753,0.635637611370487,0.709730860843913,0.267271342426236,0.248661781431837
"ICMT",17.7877029423444,17.1473849066415,12.7244246211501,13.7562212356607,18.0254168584946,18.5309407342582,13.8658250576323,13.9260205630284
"LINC00337",0.167923672000996,0.23916533898812,0.0606470784673322,0,0.201848616933403,0.240014072796973,0.0732628509508456,0.0840132672205751
"HES3",0.526819363140381,0.844112961134542,0.285398016316857,0.553306687631594,0.504621542333507,0.880992831913596,0.459688476554326,0.494195689532795
"GPR153",41.4239149333962,47.1071347868297,37.6451659530932,38.2159115476347,38.8548697904643,43.6591831022231,34.6393411940565,35.1936419876019
"ACOT7",28.7037717447999,31.1946084674334,30.3504483601522,28.3308541668076,27.9641445659233,28.491127202849,26.4124486596643,25.760786388159
"HES2",0.129293343700298,0.0460365206502955,0.0466954031391666,0,0.0437101758500151,0.0295679308459746,0.0235037315257017,0.0215620904916656
"ESPN",0.05199562391799,0.111082173871571,0.0563360003887991,0.0546098500820194,0.0351563011651212,0.0624267698829624,0.00567124872837661,0.0260137370417716
"MIR4252",0,0,0,0,0,0,0,0
"TNFRSF25",9.64529695738081,10.2004704694411,10.4504458682548,9.6262492687312,7.79776132405688,9.95065975909936,9.0233688039895,8.31876271663426
"PLEKHG5",6.96601312247852,9.27264282097537,10.3011025007121,9.14933118611894,7.60155629889749,8.21120326379761,8.80359782006181,8.1460362402765
"NOL9",4.77318200767235,4.99638912886088,4.81598522394041,5.90375845075088,4.54663107458565,4.59070540143284,5.96697832535692,6.2233069686564
"TAS1R1",0,0.0701665753024181,0.0711708112246331,0,0.0148046391668507,0.0225329848665209,0.0214939312270817,0.049295799013146
"ZBTB48",9.84390002334352,9.93095905466416,15.9561173084179,14.6877026104214,8.17894890465573,9.29285465718841,13.531908367965,13.6120559738119
"KLHL21",5.48838219383239,6.1883237069889,7.42214954103746,7.40822642625607,5.00744135885551,5.13906482742685,7.06823200626154,7.10875767722014
