"Geneid","Length"
"DDX11L1",1652
"WASH7P",1769
"MIR6859-3",204
"MIR6859-2",204
"MIR6859-4",204
"MIR6859-1",204
"MIR1302-11",552
"MIR1302-9",552
"MIR1302-2",552
"MIR1302-10",552
"FAM138A",2260
"FAM138F",2260
"OR4F5",918
"LOC729737",5474
"LOC100133331",12819
"LOC100132287",8740
"LOC100132062",8740
"OR4F3",2817
"OR4F29",2817
"OR4F16",2817
"LOC101928626",798
"MIR6723",89
"LOC100288069",1371
"FAM87B",1944
"LINC00115",1317
"LINC01128",9233
"FAM41C",1706
"LOC100130417",1506
"SAMD11",2554
"NOC2L",2800
"KLHL17",2564
"PLEKHN1",2436
"PERM1",3454
"HES4",1040
"ISG15",666
"AGRN",7394
"RNF223",1122
"C1orf159",2104
"LINC01342",1618
"MIR200B",95
"MIR200A",90
"MIR429",83
"TTLL10",3129
"TNFRSF18",1200
"TNFRSF4",1104
"SDF4",2138
"B3GALT6",2792
"FAM132A",1043
"UBE2J2",2437
"SCNN1D",3054
"ACAP3",3759
"MIR6726",61
"PUSL1",1240
"CPSF3L",2629
"MIR6727",65
"CPTP",2193
"TAS1R3",2559
"DVL1",2924
"MIR6808",59
"MXRA8",3113
"AURKAIP1",1147
"CCNL2",3631
"LOC148413",1748
"MRPL20",733
"ANKRD65",2192
"TMEM88B",492
"LOC102724312",1194
"VWA1",4659
"ATAD3C",3859
"ATAD3B",2433
"ATAD3A",2807
"TMEM240",1117
"SSU72",1303
"C1orf233",2089
"MIB2",3574
"MMP23B",1240
"MMP23A",1812
"CDK11B",3120
"SLC35E2B",6421
"CDK11A",2627
"SLC35E2",7297
"NADK",4226
"GNB1",3194
"CALML6",1101
"TMEM52",958
"CFAP74",5412
"GABRD",1925
"PRKCZ",3079
"FAAP20",6992
"SKI",5707
"MORN1",6378
"LOC100129534",2248
"RER1",3104
"PEX10",2074
"PLCH2",6844
"PANK4",2679
"HES5",1306
"LOC115110",4619
"TNFRSF14",3501
"LOC100996583",698
"FAM213B",2981
"MMEL1",2902
"TTC34",1775
"ACTRT2",1422
"LINC00982",3848
"PRDM16",8723
"MIR4251",61
"ARHGEF16",2904
"MEGF6",7439
"MIR551A",95
"TPRG1L",2427
"WRAP73",1699
"TP73",5522
"TP73-AS1",6455
"CCDC27",2174
"SMIM1",573
"LRRC47",2648
"CEP104",6458
"DFFB",3229
"C1orf174",1666
"LINC01134",1952
"LINC01346",568
"LOC284661",2074
"AJAP1",3317
"MIR4417",73
"MIR4689",70
"NPHP4",5556
"KCNAB2",5758
"CHD5",9663
"RPL22",2085
"LOC102724450",378
"RNF207",3971
"ICMT",4815
"LINC00337",1640
"HES3",697
"GPR153",4082
"ACOT7",2389
"HES2",4260
"ESPN",3531
"MIR4252",63
"TNFRSF25",1913
"PLEKHG5",5996
"NOL9",6712
"TAS1R1",2795
"ZBTB48",2350
"KLHL21",4516
"PHF13",3670
"THAP3",2972
"DNAJC11",3293
"LOC100505887",485
"CAMTA1",9283
"VAMP3",2205
"PER3",6386
"UTS2",755
"TNFRSF9",5993
"PARK7",961
"ERRFI1",3129
"LOC102724539",495
"SLC45A1",2527
"RERE",8321
"LOC102724552",694
"ENO1",3253
"MIR6728",89
"ENO1-AS1",446
"CA6",1463
"SLC2A7",1539
"SLC2A5",2855
"GPR157",1153
"MIR34A",110
"H6PD",9290
"SPSB1",3117
"LOC100506022",2438
"SLC25A33",1461
"TMEM201",6542
"PIK3CD",5411
"PIK3CD-AS1",1823
"PIK3CD-AS2",958
"CLSTN1",5226
